fdc_id,data_type,description,food_category_id,ndb_number,publication_date
167512,sr_legacy_food,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",18,18634,2019-04-01
167513,sr_legacy_food,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",18,18635,2019-04-01
167514,sr_legacy_food,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",18,18637,2019-04-01
167515,sr_legacy_food,"George Weston Bakeries, Thomas English Muffins",18,18639,2019-04-01
167516,sr_legacy_food,"Waffles, buttermilk, frozen, ready-to-heat",18,18932,2019-04-01
167517,sr_legacy_food,"Waffle, buttermilk, frozen, ready-to-heat, toasted",18,18933,2019-04-01
167518,sr_legacy_food,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",18,18934,2019-04-01
167519,sr_legacy_food,"Waffle, plain, frozen, ready-to-heat, microwave",18,18935,2019-04-01
167520,sr_legacy_food,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",18,18942,2019-04-01
167521,sr_legacy_food,"Pie Crust, Cookie-type, Chocolate, Ready Crust",18,18943,2019-04-01
167522,sr_legacy_food,"Pie, Dutch Apple, Commercially Prepared",18,18944,2019-04-01
167523,sr_legacy_food,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",18,18945,2019-04-01
167524,sr_legacy_food,"Waffles, chocolate chip, frozen, ready-to-heat",18,18951,2019-04-01
167525,sr_legacy_food,"Tostada shells, corn",18,18952,2019-04-01
167526,sr_legacy_food,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",18,18953,2019-04-01
167527,sr_legacy_food,"Bread, pound cake type, pan de torta salvadoran",18,18954,2019-04-01
167528,sr_legacy_food,"Pastry, Pastelitos de Guava (guava pastries)",18,18959,2019-04-01
167529,sr_legacy_food,"Crackers, snack, Goya Crackers",18,18960,2019-04-01
167530,sr_legacy_food,"Crackers, cream, Gamesa Sabrosas",18,18961,2019-04-01
167531,sr_legacy_food,"Crackers, cream, La Moderna Rikis Cream Crackers",18,18962,2019-04-01
167532,sr_legacy_food,"Bread, white wheat",18,18967,2019-04-01
167533,sr_legacy_food,"Bagels, wheat",18,18968,2019-04-01
167534,sr_legacy_food,"Cream puff, eclair, custard or cream filled, iced",18,18969,2019-04-01
167535,sr_legacy_food,"Tortillas, ready-to-bake or -fry, flour, shelf stable",18,18970,2019-04-01
167536,sr_legacy_food,"Snacks, beef jerky, chopped and formed",23,19002,2019-04-01
167537,sr_legacy_food,"Snacks, corn-based, extruded, chips, plain",23,19003,2019-04-01
167538,sr_legacy_food,"Snacks, corn-based, extruded, chips, barbecue-flavor",23,19004,2019-04-01
167539,sr_legacy_food,"Snacks, corn-based, extruded, cones, plain",23,19005,2019-04-01
167540,sr_legacy_food,"Snacks, fruit leather, pieces",19,19013,2019-04-01
167541,sr_legacy_food,"Snacks, fruit leather, rolls",19,19014,2019-04-01
167542,sr_legacy_food,"Snacks, granola bars, hard, plain",23,19015,2019-04-01
