id,product_name,product_name_en,grocery_store,prep,veg,ingredients,ingredients_en,price_2026,weight_grams,price_per_kg_2026,image_url
20,AH Hutspot grootverpakking,"AH hutspot (carrot & onion), large pack",Albert Heijn,pre-cut,,"60% wortel, 40% ui","60% carrot, 40% onion",1.99,1000,1.99,https://www.ah-boodschappen.nl/storage/product-image/poster/2510.jpg
24,AH Basis soepgroente,AH basic soup vegetables,Albert Heijn,pre-cut,,"49% prei, 29% wortel, 13% bloemkool, 9,1% selderij","49% leek, 29% carrot, 13% cauliflower, 9.1% celery",1.29,400,3.23,https://www.ah-boodschappen.nl/storage/product-image/poster/2623.jpg
19,AH Hutspot,AH hutspot (carrot & onion),Albert Heijn,pre-cut,,"60% wortel, 40% ui","60% carrot, 40% onion",1.69,500,3.38,https://www.ah-boodschappen.nl/storage/product-image/poster/2510.jpg
59,AH Geschrapte worteltjes grootverpakking,"AH scraped baby carrots, large pack",Albert Heijn,pre-cut,carrot,"wortel, antioxidant (calciumascorbaat [E302])","carrot, antioxidant (calcium ascorbate [E302])",1.79,500,3.58,https://www.ah-boodschappen.nl/storage/product-image/poster/2500.jpg
4,AH Roerbakgroente Italiaans grootverpakking,"AH Italian stir-fry mix, large pack",Albert Heijn,pre-cut,,"27% prei, 18% wortel, 18% courgette, 18% ui, 18% rode paprika","27% leek, 18% carrot, 18% zucchini, 18% onion, 18% red bell pepper",2.29,600,3.82,https://www.ah-boodschappen.nl/storage/product-image/poster/2591.jpg
58,AH Geschrapte worteltjes,AH scraped baby carrots,Albert Heijn,pre-cut,carrot,"wortel, antioxidant (calciumascorbaat [E302])","carrot, antioxidant (calcium ascorbate [E302])",1.29,300,4.30,https://www.ah-boodschappen.nl/storage/product-image/poster/2503.jpg
26,AH Erwtensoepgroente,AH pea-soup vegetables,Albert Heijn,pre-cut,,"35% prei, 24% wortel, 20% knolselderij, 16% witte ui, 5,5% bladselderij, antioxidant (citroenzuur (E330))","35% leek, 24% carrot, 20% celeriac, 16% white onion, 5.5% leaf celery, antioxidant (citric acid (E330))",2.19,500,4.38,https://www.ah-boodschappen.nl/storage/product-image/poster/2625.jpg
25,AH Soepgroenten luxe,AH deluxe soup vegetables,Albert Heijn,pre-cut,,"24% prei, 23% bleekselderij, 17% wortel, 12% tuinerwt, 12% bloemkool, 6% tomaat, 6% selderij","24% leek, 23% celery, 17% carrot, 12% garden peas, 12% cauliflower, 6% tomato, 6% leaf celery",1.99,450,4.42,https://www.ah-boodschappen.nl/storage/product-image/poster/2633.jpg
48,AH Andijvie gesneden,AH sliced endive,Albert Heijn,pre-cut,endive,andijvie,endive,1.79,400,4.48,https://www.ah-boodschappen.nl/storage/product-image/poster/2205.jpg
53,AH Spinazie,AH spinach,Albert Heijn,pre-cut,spinach,spinazie,spinach,2.19,450,4.87,https://www.ah-boodschappen.nl/storage/product-image/poster/2143.jpg
23,AH Fijne soepgroente grootverpakking,"AH finely cut soup vegetables, large pack",Albert Heijn,pre-cut,,"34% wortel, 25% prei, 24% selderij, 17% bloemkool (bloemkoolblad en roosjes in wisselende verhoudingen)","34% carrot, 25% leek, 24% celery, 17% cauliflower (cauliflower leaf and florets in varying proportions)",1.99,400,4.98,https://www.ah-boodschappen.nl/storage/product-image/poster/2621.jpg
46,AH Gesneden spitskool,AH sliced pointed cabbage,Albert Heijn,pre-cut,pointed cabbage,spitskool,pointed cabbage,1.99,400,4.98,https://www.ah-boodschappen.nl/storage/product-image/poster/2494.jpg
11,AH Wokgroente Chinees grootverpakking,"AH Chinese wok vegetables, large pack",Albert Heijn,pre-cut,,"25% rode paprika, 25% witte kool, 19% prei, 19% sperzieboon, 13% taugé","25% red bell pepper, 25% white cabbage, 19% leek, 19% green beans, 13% bean sprouts",2.99,600,4.98,https://www.ah-boodschappen.nl/storage/product-image/poster/2576.jpg
13,AH Wokgroente Thais grootverpakking,"AH Thai wok vegetables, large pack",Albert Heijn,pre-cut,,"31% witte kool, 24% prei, 21% groene paprika, 21% rode ui, 3,1% rode peper","31% white cabbage, 24% leek, 21% green bell pepper, 21% red onion, 3.1% red chili pepper",2.99,600,4.98,https://www.ah-boodschappen.nl/storage/product-image/poster/2578.jpg
22,AH Fijne soepgroente,AH finely cut soup vegetables,Albert Heijn,pre-cut,,"34% wortel, 25% prei, 24% selderij, 17% bloemkool (bloemkoolblad en roosjes in wisselende verhoudingen)","34% carrot, 25% leek, 24% celery, 17% cauliflower (cauliflower leaf and florets in varying proportions)",1.29,250,5.16,https://www.ah-boodschappen.nl/storage/product-image/poster/2624.jpg
47,AH Fijngesneden spitskool,AH finely sliced pointed cabbage,Albert Heijn,pre-cut,pointed cabbage,spitskool,pointed cabbage,1.09,200,5.45,https://www.ah-boodschappen.nl/storage/product-image/poster/2496.jpg
21,AH Boeren soepgroente,AH farmhouse soup vegetables,Albert Heijn,pre-cut,,"27% prei, 24% bleekselderij, 18% wortel, 12% bloemkool, 12% rode paprika, 8,3% selderij","27% leek, 24% celery, 18% carrot, 12% cauliflower, 12% red bell pepper, 8.3% leaf celery",1.99,350,5.69,https://www.ah-boodschappen.nl/storage/product-image/poster/2622.jpg
49,AH Andijvie fijngesneden kleinverpakking,"AH finely sliced endive, small pack",Albert Heijn,pre-cut,endive,andijvie,endive,1.49,250,5.96,https://www.ah-boodschappen.nl/storage/product-image/poster/2204.jpg
56,AH Snijbonen,AH sliced runner beans,Albert Heijn,pre-cut,runner beans,snijboon,sliced runner beans,2.39,400,5.98,https://www.ah-boodschappen.nl/storage/product-image/poster/2288.jpg
55,AH Sperziebonen,AH green beans,Albert Heijn,pre-cut,green beans,sperzieboon,green beans,2.39,400,5.98,https://www.ah-boodschappen.nl/storage/product-image/poster/2249.jpg
12,AH Wokgroente Thais,AH Thai wok vegetables,Albert Heijn,pre-cut,,"31% witte kool, 24% prei, 21% groene paprika, 21% rode ui, 3,1% rode peper","31% white cabbage, 24% leek, 21% green bell pepper, 21% red onion, 3.1% red chili pepper",2.39,400,5.98,https://www.ah-boodschappen.nl/storage/product-image/poster/2573.jpg
1,AH Roerbakgroente Hollands,AH Dutch stir-fry mix,Albert Heijn,pre-cut,,"24% wortel, 16% bleekselderij, 16% rode paprika, 11% gele paprika, 11% broccoli, 11% sperziebonen, 11% bloemkool","24% carrot, 16% celery, 16% red bell pepper, 11% yellow bell pepper, 11% broccoli, 11% green beans, 11% cauliflower",2.49,400,6.23,https://www.ah-boodschappen.nl/storage/product-image/poster/2592.jpg
2,AH Roerbakgroente Italiaans,AH Italian stir-fry mix,Albert Heijn,pre-cut,,"27% prei, 18% wortel, 18% ui, 18% courgette, 18% rode paprika","27% leek, 18% carrot, 18% onion, 18% zucchini, 18% red bell pepper",2.49,400,6.23,https://www.ah-boodschappen.nl/storage/product-image/poster/2589.jpg
7,AH Roerbakgroente Italiaans cavolo nero,"AH Italian stir-fry mix, cavolo nero",Albert Heijn,pre-cut,,"42% broccoli, 23% kastanjechampignon, 21% cavolo nero, 14% bosui","42% broccoli, 23% chestnut mushroom, 21% cavolo nero, 14% spring onion",2.49,400,6.23,https://www.ah-boodschappen.nl/storage/product-image/poster/715528.jpg
8,AH Roerbakgroente Mexicaans,AH Mexican stir-fry mix,Albert Heijn,pre-cut,,"28% witte kool, 21% prei, 17% mais, 14% sperzieboon, 11% kidneyboon, 9,3% rode paprika, water, zout, antioxidant (citroenzuur (E330)), calciumchloride (E509), calciumdinatrium-EDTA (E385)","28% white cabbage, 21% leek, 17% corn, 14% green beans, 11% kidney beans, 9.3% red bell pepper, water, salt, antioxidant (citric acid (E330)), calcium chloride (E509), calcium disodium EDTA (E385)",2.49,400,6.23,https://www.ah-boodschappen.nl/storage/product-image/poster/2590.jpg
